
2024/09/14 (10:34:09) | ===> btop++ v.1.3.2
2024/09/14 (10:34:09) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/09/14 (10:34:28) | ===> btop++ v.1.3.2
2024/09/14 (10:34:28) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/09/14 (10:34:57) | ===> btop++ v.1.3.2
2024/09/14 (10:34:57) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/09/14 (10:35:11) | ===> btop++ v.1.3.2
2024/09/14 (10:35:11) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/09/14 (18:20:58) | ===> btop++ v.1.3.2
2024/09/14 (18:20:58) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/09/14 (18:21:11) | ===> btop++ v.1.3.2
2024/09/14 (18:21:11) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/09/14 (18:21:20) | ===> btop++ v.1.3.2
2024/09/14 (18:21:20) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/09/14 (18:22:57) | ===> btop++ v.1.3.2
2024/09/14 (18:22:57) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/09/15 (10:51:11) | ===> btop++ v.1.3.2
2024/09/15 (10:51:11) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/09/15 (10:51:25) | ===> btop++ v.1.3.2
2024/09/15 (10:51:25) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/09/15 (10:51:54) | ===> btop++ v.1.3.2
2024/09/15 (10:51:54) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/09/15 (10:52:04) | ===> btop++ v.1.3.2
2024/09/15 (10:52:04) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/09/15 (12:25:24) | ===> btop++ v.1.3.2
2024/09/15 (12:25:24) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/09/15 (12:25:29) | ===> btop++ v.1.3.2
2024/09/15 (12:25:29) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/09/15 (12:26:15) | ===> btop++ v.1.3.2
2024/09/15 (12:26:15) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/09/15 (12:27:06) | ===> btop++ v.1.3.2
2024/09/15 (12:27:06) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/09/15 (12:27:30) | ===> btop++ v.1.3.2
2024/09/15 (12:27:30) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/09/15 (12:39:06) | ===> btop++ v.1.3.2
2024/09/15 (12:39:06) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/09/15 (13:03:49) | ===> btop++ v.1.3.2
2024/09/15 (13:03:49) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/09/15 (17:37:37) | ===> btop++ v.1.3.2
2024/09/15 (17:37:37) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/09/15 (17:37:42) | ===> btop++ v.1.3.2
2024/09/15 (17:37:42) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/09/16 (15:44:56) | ===> btop++ v.1.3.2
2024/09/16 (15:44:56) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/09/18 (07:11:17) | ===> btop++ v.1.3.2
2024/09/18 (07:11:17) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/09/18 (07:15:21) | ===> btop++ v.1.3.2
2024/09/18 (07:15:21) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/09/18 (07:24:42) | ===> btop++ v.1.3.2
2024/09/18 (07:24:42) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/09/18 (07:25:38) | ===> btop++ v.1.3.2
2024/09/18 (07:25:38) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/09/18 (07:56:54) | ===> btop++ v.1.3.2
2024/09/18 (07:56:54) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

